,Player,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%PK
206,Kevin Trapp,32,32,"2,880",46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0
207,Philipp Tschauner,1,0,3,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
208,Sven Ulreich,6,6,540,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0
209,Benjamin Uphoff,2,2,180,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
210,Rúben Vezo,1,1,4,0,0.00,0,0,,0,0,0,0,0.0,0,0,0,0,
211,Guglielmo Vicario,38,38,"3,420",70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3,28.6
212,Danny Ward,1,1,90,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
213,Freddie Woodman,4,4,360,12,3.00,22,9,54.5,0,1,3,0,0.0,3,2,1,0,33.3
214,Robin Zentner,32,32,"2,880",42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0
215,Luca Zidane,8,8,645,13,1.81,37,24,64.9,0,1,7,0,0.0,0,0,0,0,
216,Jeroen Zoet,7,7,630,19,2.71,43,23,58.1,1,1,5,0,0.0,2,1,1,0,50.0
217,Petar Zovko,1,0,29,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
