,Player,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDribblers,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Clr,Err
108,Charles Aránguiz,48,30,21,22,5,21,66,31.8,45,31,2,29,25,27,1
109,Luiz Araújo,23,17,8,9,6,9,24,37.5,15,6,1,5,3,4,0
110,Néstor Araujo,42,22,32,9,1,18,22,81.8,4,32,21,11,35,153,1
111,Anaitz Arbilla,31,24,25,5,1,17,27,63.0,10,12,5,7,46,92,2
112,Joaquín Ardaiz,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
113,Alphonse Areola,1,1,1,0,0,1,1,100.0,0,0,0,0,0,4,1
114,Santiago Arias,48,32,31,16,1,20,31,64.5,11,14,2,12,34,43,0
115,Lorenzo Ariaudo,20,14,15,4,1,6,10,60.0,4,31,20,11,14,103,0
116,Nicolò Armini,1,1,0,1,0,1,2,50.0,1,1,0,1,0,0,0
117,Yoël Armougom,31,21,20,9,2,15,29,51.7,14,9,3,6,21,66,0
118,Stuart Armstrong,28,20,14,6,8,8,42,19.0,34,14,0,14,12,12,0
119,José Arnaiz,1,1,1,0,0,0,3,0.0,3,0,0,0,2,1,0
120,Marko Arnautović,9,5,4,3,2,1,7,14.3,6,4,2,2,3,6,0
121,Maximilian Arnold,52,30,21,27,4,21,61,34.4,40,31,10,21,35,48,1
122,Kepa Arrizabalaga,1,1,1,0,0,1,2,50.0,1,1,0,1,0,4,2
123,Harry Arter,62,37,27,26,9,16,46,34.8,30,33,5,28,21,21,2
124,Kwadwo Asamoah,44,26,22,14,8,29,51,56.9,22,21,4,17,40,46,1
125,Takuma Asano,5,3,1,1,3,1,6,16.7,5,9,0,9,2,2,0
126,Santiago Ascacíbar,78,50,43,29,6,34,74,45.9,40,48,10,38,43,34,1
127,Sergio Asenjo,0,0,0,0,0,0,1,0.0,1,0,0,0,3,26,2
128,Marco Asensio,12,8,3,5,4,2,24,8.3,22,16,1,15,14,7,0
129,Iago Aspas,16,11,4,8,4,4,20,20.0,16,14,0,14,16,5,0
130,Simon Asta,6,3,4,2,0,2,2,100.0,0,2,1,1,3,1,0
131,Youcef Atal,68,44,34,25,9,34,67,50.7,33,38,8,30,56,42,0
132,Christian Atsu,24,15,9,11,4,5,16,31.3,11,13,3,10,7,16,0
133,Pierre-Emerick Aubameyang,21,17,6,9,6,8,28,28.6,20,26,0,26,8,22,0
134,Emil Audero,4,3,4,0,0,3,3,100.0,0,0,0,0,1,21,4
135,Jean-Kévin Augustin,2,0,0,0,2,0,1,0.0,1,6,0,6,3,0,0
136,Ludwig Augustinsson,53,31,25,22,6,23,39,59.0,16,37,11,26,38,86,1
137,Serge Aurier,20,12,12,4,4,8,15,53.3,7,8,2,6,7,20,0
138,Charlie Austin,13,7,3,6,4,6,11,54.5,5,12,2,10,2,13,0
139,Ezequiel Ávila,18,10,7,7,4,4,26,15.4,22,21,2,19,13,22,0
140,Jordan Ayew,38,23,12,19,7,6,20,30.0,14,16,0,16,7,6,0
141,Kaan Ayhan,53,29,38,15,0,23,47,48.9,24,34,16,18,59,118,3
142,Floyd Ayité,4,4,2,1,1,2,6,33.3,4,8,1,7,7,5,0
143,César Azpilicueta,105,60,52,40,13,38,67,56.7,29,63,16,47,43,91,3
144,Abdoulaye Ba,46,33,37,8,1,29,39,74.4,10,32,18,14,29,165,4
145,Florian Baak,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
146,Ludovic Baal,4,3,3,1,0,0,0,,0,1,0,1,2,1,0
147,Khouma Babacar,7,3,2,5,0,2,10,20.0,8,8,2,6,3,25,1
148,Ryan Babel,8,4,1,5,2,3,9,33.3,6,12,0,12,6,13,1
149,Carlos Bacca,4,2,1,2,1,0,5,0.0,5,4,0,4,8,5,0
150,Juninho Bacuna,46,29,22,19,5,22,54,40.7,32,21,1,20,24,12,1
151,Leandro Bacuna,15,10,5,7,3,8,22,36.4,14,5,2,3,15,9,0
152,Milan Badelj,33,20,10,19,4,16,37,43.2,21,27,9,18,33,20,1
153,Benoît Badiashile,25,18,18,7,0,17,25,68.0,8,12,5,7,21,79,2
154,Holger Badstuber,12,4,8,4,0,7,8,87.5,1,6,2,4,9,21,1
155,Stéphane Bahoken,15,7,0,10,5,3,21,14.3,18,35,3,32,8,5,0
156,Daniel Baier,62,39,21,37,4,24,66,36.4,42,27,8,19,60,48,2
157,Leon Bailey,15,11,9,2,4,6,20,30.0,14,20,0,20,14,11,0
158,Eric Bailly,15,9,14,1,0,8,10,80.0,2,9,4,5,13,39,1
159,Leighton Baines,8,6,4,3,1,4,6,66.7,2,2,0,2,2,8,0
160,Marvin Bakalorz,18,11,7,9,2,6,36,16.7,30,29,4,25,28,47,0
161,Tiemoué Bakayoko,69,43,22,40,7,26,62,41.9,36,34,5,29,50,42,2
162,Ridle Baku,18,9,6,9,3,2,7,28.6,5,13,1,12,8,9,0
163,Fabián Balbuena,40,20,34,6,0,16,42,38.1,26,23,15,8,53,175,0
164,Keita Baldé,10,6,4,2,4,2,9,22.2,7,8,0,8,3,1,0
165,Gareth Bale,16,8,5,7,4,6,20,30.0,14,19,3,16,11,13,0
166,Mikel Balenziaga,10,6,7,1,2,5,8,62.5,3,6,2,4,2,21,0
167,Andrija Balić,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0
168,Fodé Ballo-Touré,47,35,26,19,2,21,32,65.6,11,25,7,18,27,42,2
169,Fodé Ballo-Touré,46,31,26,16,4,20,40,50.0,20,20,2,18,28,38,2
170,Florent Balmont,29,16,16,10,3,9,36,25.0,27,13,2,11,6,8,0
171,Leon Balogun,12,6,11,1,0,8,9,88.9,1,5,3,2,17,32,1
172,Mario Balotelli,1,0,0,1,0,1,4,25.0,3,9,1,8,1,8,0
173,Mario Balotelli,5,3,1,3,1,2,7,28.6,5,8,2,6,3,6,0
174,Abdoulaye Bamba,51,29,31,14,6,24,44,54.5,20,20,4,16,37,86,0
175,Jonathan Bamba,29,19,7,17,5,13,39,33.3,26,24,1,23,41,18,0
176,Sol Bamba,74,42,44,30,0,31,55,56.4,24,72,32,40,82,181,3
177,Yacine Bammou,14,7,7,4,3,3,8,37.5,5,14,3,11,9,17,0
178,Éver Banega,71,50,32,35,4,20,70,28.6,50,26,5,21,28,28,0
179,Mattia Bani,67,40,46,21,0,27,40,67.5,13,51,35,16,57,162,2
180,Léo Baptistão,22,14,11,5,6,8,27,29.6,19,17,0,17,8,14,0
181,Antonín Barák,9,6,4,5,0,2,11,18.2,9,4,0,4,2,2,0
182,Federico Barba,30,14,21,9,0,8,21,38.1,13,29,15,14,65,129,0
183,Danilo Barbosa,29,20,13,13,3,6,17,35.3,11,17,2,15,15,25,1
