,Player,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh
420,Duje Ćaleta-Car,1,15,5,33.3,0.72,0.24,0.07,0.20,15.5,0,0,0,1.4,1.4,0.09
421,Hakan Çalhanoğlu,9,100,33,33.0,3.33,1.10,0.08,0.24,22.6,12,1,1,7.8,7.0,0.07
422,Daniel Caligiuri,2,43,11,25.6,1.69,0.43,0.02,0.09,23.1,8,1,1,3.4,2.6,0.06
423,José Callejón,4,42,14,33.3,1.74,0.58,0.10,0.29,15.7,0,0,0,5.2,5.2,0.12
424,Jonathan Calleri,1,47,13,27.7,2.34,0.65,0.02,0.08,12.1,0,0,0,4.5,4.5,0.10
425,Dominic Calvert-Lewin,13,85,38,44.7,2.91,1.30,0.15,0.34,12.9,0,0,0,15.3,15.3,0.18
426,Mahdi Camara,0,6,2,33.3,0.60,0.20,0.00,0.00,20.2,0,0,0,0.3,0.3,0.05
427,Souleymane Camara,0,3,2,66.7,1.66,1.10,0.00,0.00,11.8,0,0,0,0.3,0.3,0.10
428,Víctor Camarasa,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
429,Víctor Camarasa,0,9,2,22.2,0.63,0.14,0.00,0.00,25.9,0,0,0,0.3,0.3,0.03
430,Eduardo Camavinga,1,15,4,26.7,0.64,0.17,0.07,0.25,22.6,0,0,0,0.9,0.9,0.06
431,Sergio Camello,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
432,José Campaña,2,44,8,18.2,1.25,0.23,0.05,0.25,23.4,5,0,0,2.4,2.4,0.05
433,Xisco Campos,0,4,0,0.0,0.76,0.00,0.00,,13.2,0,0,0,0.3,0.3,0.06
434,Víctor Campuzano,0,16,6,37.5,1.66,0.62,0.00,0.00,16.9,0,0,0,1.7,1.7,0.11
435,Emre Can,0,7,2,28.6,2.22,0.63,0.00,0.00,15.9,0,0,0,1.2,1.2,0.17
436,Emre Can,2,16,4,25.0,1.51,0.38,0.13,0.50,18.6,0,0,0,1.2,1.2,0.07
437,Sergio Canales,6,48,14,29.2,1.37,0.40,0.06,0.21,21.8,5,3,4,7.5,4.3,0.09
438,João Cancelo,0,15,3,20.0,1.12,0.22,0.00,0.00,23.9,0,0,0,0.6,0.6,0.04
439,Antonio Candreva,5,42,14,33.3,1.90,0.63,0.12,0.36,21.7,0,0,0,2.3,2.3,0.05
440,Gianmarco Cangiano,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
441,Todd Cantwell,6,42,16,38.1,1.52,0.58,0.14,0.38,16.1,0,0,0,5.4,5.4,0.13
442,Ander Capa,3,16,7,43.8,0.50,0.22,0.19,0.43,18.7,0,0,0,1.2,1.2,0.07
443,Pierrick Capelle,1,36,11,30.6,1.85,0.57,0.03,0.09,19.4,0,0,0,2.6,2.6,0.07
444,Étienne Capoue,0,19,1,5.3,0.65,0.03,0.00,0.00,26.9,2,0,0,0.8,0.8,0.04
445,Gianluca Caprari,3,23,8,34.8,3.10,1.08,0.13,0.38,19.6,3,0,0,1.2,1.2,0.05
446,Gianluca Caprari,2,15,7,46.7,2.29,1.07,0.07,0.14,18.9,0,1,1,2.4,1.6,0.10
447,Francesco Caputo,21,71,33,46.5,2.18,1.01,0.27,0.58,13.4,0,2,2,13.9,12.4,0.18
448,Maxence Caqueret,0,4,2,50.0,0.63,0.32,0.00,0.00,23.7,0,0,0,0.2,0.2,0.04
449,Andrea Carboni,0,1,0,0.0,0.24,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.03
450,Irvin Cardona,6,50,14,28.0,3.10,0.87,0.12,0.43,15.3,0,0,0,5.5,5.5,0.11
451,Marc Cardona,1,12,4,33.3,1.53,0.51,0.08,0.25,14.7,0,0,0,1.8,1.8,0.15
452,Diego Carlos,2,21,3,14.3,0.60,0.09,0.10,0.67,16.5,0,0,0,2.3,2.3,0.11
453,Lionel Carole,0,5,0,0.0,0.35,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03
454,Yannick Carrasco,1,17,6,35.3,2.42,0.86,0.06,0.17,20.3,1,0,0,1.2,1.2,0.07
455,Daniel Carriço,0,6,0,0.0,0.64,0.00,0.00,,14.9,0,0,0,0.6,0.6,0.10
456,Guido Carrillo,1,37,13,35.1,2.75,0.96,0.03,0.08,11.3,0,0,0,5.2,5.1,0.15
457,Andy Carroll,0,16,3,18.8,2.28,0.43,0.00,0.00,14.3,0,0,0,1.2,1.2,0.08
458,Dani Carvajal,1,20,9,45.0,0.66,0.30,0.05,0.11,19.5,0,0,0,2.6,2.6,0.13
459,Matis Carvalho,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
460,William Carvalho,0,6,2,33.3,0.61,0.20,0.00,0.00,21.5,0,0,0,0.6,0.6,0.10
461,Casemiro,4,45,12,26.7,1.31,0.35,0.09,0.33,22.6,4,0,0,4.2,4.2,0.10
462,Moreto Cassamã,1,4,1,25.0,0.61,0.15,0.25,1.00,28.1,1,0,0,0.2,0.2,0.04
463,Francesco Cassata,2,12,7,58.3,0.74,0.43,0.17,0.29,21.9,0,0,0,1.2,1.2,0.10
464,Timothy Castagne,1,18,5,27.8,0.92,0.25,0.06,0.20,13.2,0,0,0,2.0,2.0,0.12
465,Koen Casteels,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
466,Jean-Charles Castelletto,1,3,1,33.3,0.15,0.05,0.33,1.00,7.1,0,0,0,0.5,0.5,0.17
467,Samu Castillejo,2,31,8,25.8,2.31,0.60,0.06,0.25,17.2,0,0,0,4.1,4.1,0.13
468,Jonny Castro,2,18,5,27.8,0.56,0.16,0.11,0.40,19.0,0,0,0,1.6,1.6,0.09
469,Lucas Castro,0,10,2,20.0,2.12,0.42,0.00,0.00,22.8,0,0,0,0.5,0.5,0.05
470,Lucas Castro,2,14,3,21.4,2.08,0.45,0.14,0.67,21.6,0,0,0,0.9,0.9,0.07
471,Gaetano Castrovilli,3,49,11,22.4,1.65,0.37,0.06,0.27,19.4,1,0,0,3.5,3.5,0.07
472,Danilo Cataldi,1,9,1,11.1,1.37,0.15,0.11,1.00,33.3,2,0,0,0.5,0.5,0.05
473,Craig Cathcart,0,2,1,50.0,0.07,0.04,0.00,0.00,10.8,0,0,0,0.2,0.2,0.10
474,Edinson Cavani,4,27,10,37.0,4.02,1.49,0.11,0.30,10.5,1,1,1,8.7,7.9,0.29
475,Santi Cazorla,11,41,16,39.0,1.51,0.59,0.07,0.19,24.6,0,8,8,8.7,2.4,0.06
476,Dani Ceballos,0,13,3,23.1,0.69,0.16,0.00,0.00,22.8,0,0,0,0.6,0.6,0.04
477,Federico Ceccherini,0,4,0,0.0,0.43,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.06
478,Christian Celesia,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,
479,Zeki Çelik,0,4,1,25.0,0.17,0.04,0.00,0.00,21.5,0,0,0,0.2,0.2,0.04
480,Fabien Centonze,0,9,3,33.3,0.32,0.11,0.00,0.00,24.0,0,0,0,0.5,0.5,0.05
481,Luca Ceppitelli,2,5,2,40.0,0.36,0.14,0.40,1.00,14.2,0,0,0,0.4,0.4,0.08
482,Alberto Cerri,1,11,5,45.5,2.36,1.07,0.09,0.20,13.6,0,0,0,1.5,1.5,0.14
483,Alberto Cerri,1,7,3,42.9,2.58,1.11,0.14,0.33,17.4,0,0,0,0.4,0.4,0.06
