,name,passes completed,passes attempted,passes success rate,total distance of passes (yards),progressive distance,short passes completed,short passes attempted,short passes succes rate,medium passes completed,medium passes attempted,medium passes succes rate,long passes completed,long passes attempted,long passes succes rate,assists,expected assists 2nd deegree,expected assists,key passes,passes into 1/3,passes into penalty area
227,Aymen Barkok,181,264,68.6,2801,919,92,119,77.3,64,91,70.3,14,20,70.0,1,0.9,1.2,8,18,7
228,Harvey Barnes,549,786,69.8,7152,2004,363,462,78.6,142,210,67.6,17,37,45.9,1,3.1,2.2,19,39,31
229,Leandro Barreiro Martins,379,557,68.0,5320,1806,226,285,79.3,118,170,69.4,16,44,36.4,3,2.2,1.3,16,48,5
230,Enzo Barrenechea,98,115,85.2,1544,361,49,52,94.2,42,45,93.3,6,11,54.5,0,0.0,0.0,1,6,0
231,Ander Barrenetxea,288,376,76.6,4302,1117,162,187,86.6,95,113,84.1,19,33,57.6,1,1.2,1.1,9,14,9
232,Mickaël Barreto,481,695,69.2,9089,3373,205,247,83.0,179,239,74.9,80,173,46.2,1,1.9,2.1,18,71,16
233,Pablo Barrios,368,450,81.8,5684,1671,198,217,91.2,134,161,83.2,22,38,57.9,1,0.7,0.5,4,46,3
234,Musa Barrow,583,806,72.3,9580,2327,319,354,90.1,184,249,73.9,59,134,44.0,8,4.7,3.3,43,43,29
235,Federico Baschirotto,1049,1432,73.3,22612,8666,280,331,84.6,588,706,83.3,170,350,48.6,0,0.7,0.8,8,86,7
236,Toma Bašić,214,293,73.0,3132,612,101,123,82.1,94,111,84.7,6,28,21.4,0,0.4,0.4,8,14,5
237,Alberto Basso,2,2,100.0,41,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0
238,Gil Bastião Dias,120,174,69.0,1874,372,57,77,74.0,52,61,85.2,5,13,38.5,0,0.7,0.5,8,7,7
239,Alessandro Bastoni,1384,1671,82.8,27841,9878,486,539,90.2,677,751,90.1,207,324,63.9,2,2.7,2.9,15,130,29
240,Simone Bastoni,367,596,61.6,6147,2336,188,222,84.7,124,203,61.1,41,108,38.0,4,1.7,1.3,18,35,11
241,Rodrigo Battaglia,185,232,79.7,2885,894,93,106,87.7,78,93,83.9,11,20,55.0,0,0.0,0.1,1,24,1
242,Maximilian Bauer,551,758,72.7,11267,4449,177,208,85.1,290,342,84.8,74,178,41.6,1,0.4,0.2,4,30,2
243,Oliver Baumann,1068,1417,75.4,29033,20956,239,239,100.0,489,493,99.2,331,670,49.4,0,0.0,0.1,1,28,1
244,Timo Baumgartl,257,316,81.3,4858,1773,97,102,95.1,132,145,91.0,26,63,41.3,1,0.1,0.2,3,20,4
245,Julian Baumgartlinger,189,228,82.9,3450,906,76,88,86.4,86,99,86.9,22,28,78.6,0,0.1,0.5,2,15,8
246,Christoph Baumgartner,610,915,66.7,9280,2767,340,449,75.7,188,257,73.2,47,86,54.7,3,4.3,4.3,24,70,35
247,Cyrille Bayala,399,654,61.0,6041,2291,219,290,75.5,133,215,61.9,24,76,31.6,1,2.0,1.7,19,45,14
248,Brian Bayeye,30,50,60.0,509,284,14,16,87.5,11,17,64.7,4,6,66.7,0,0.0,0.0,1,2,1
249,Noah Joel Sarenren Bazee,1,2,50.0,10,5,1,2,50.0,0,0,,0,0,,0,0.1,0.0,1,0,0
250,Gavin Bazunu,718,1178,61.0,21528,16289,183,185,98.9,256,263,97.3,278,722,38.5,0,0.1,0.1,1,42,1
251,Bebé,21,38,55.3,411,101,8,9,88.9,9,17,52.9,4,7,57.1,0,0.1,0.1,2,2,1
252,Ihlas Bebou,246,369,66.7,3282,756,157,208,75.5,60,88,68.2,13,25,52.0,0,1.0,1.4,15,11,5
253,Rodrigo Becão,1089,1400,77.8,20616,8692,425,477,89.1,524,626,83.7,128,239,53.6,1,0.6,0.9,10,77,5
254,Mads Bech Sørensen,7,11,63.6,142,49,3,3,100.0,3,4,75.0,1,4,25.0,0,0.0,0.0,0,2,0
255,Julius Beck,5,5,100.0,116,29,0,0,,4,4,100.0,1,1,100.0,0,0.0,0.0,0,0,0
256,Sheraldo Becker,387,652,59.4,6499,1541,183,271,67.5,140,220,63.6,47,85,55.3,7,5.6,5.6,44,20,44
257,Jan Bednarek,753,902,83.5,13941,5608,293,337,86.9,380,417,91.1,72,124,58.1,0,0.1,0.2,3,33,1
258,Jan Bednarek,60,66,90.9,1249,418,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0,4,0
259,Donny van de Beek,46,61,75.4,502,115,31,34,91.2,8,8,100.0,1,2,50.0,0,0.1,0.1,3,0,4
260,Asmir Begović,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0,0,0
261,Yanis Begraoui,14,19,73.7,207,68,9,12,75.0,4,5,80.0,1,2,50.0,0,0.3,0.0,2,1,1
262,Kevin Behrens,283,483,58.6,4058,1156,161,249,64.7,89,145,61.4,19,28,67.9,1,1.3,1.6,21,31,26
263,Alexis Beka Beka,236,303,77.9,3971,967,123,145,84.8,82,103,79.6,24,42,57.1,0,0.1,0.2,3,19,2
264,Jérémie Bela,174,260,66.9,2397,917,99,133,74.4,61,84,72.6,4,17,23.5,1,0.2,0.4,3,20,7
265,Reda Belahyane,103,114,90.4,1771,445,40,44,90.9,50,54,92.6,7,8,87.5,0,0.0,0.0,1,6,0
266,Youcef Belaïli,328,458,71.6,5637,2159,162,201,80.6,101,137,73.7,44,74,59.5,3,3.5,3.3,21,35,22
267,Youcef Belaïli,114,158,72.2,2224,569,47,52,90.4,42,50,84.0,20,42,47.6,2,0.8,1.2,8,4,8
268,Haris Belkebla,1033,1222,84.5,18238,4759,430,484,88.8,471,524,89.9,100,146,68.5,0,0.6,0.8,10,107,9
269,Stefan Bell,945,1248,75.7,18036,8543,356,419,85.0,453,519,87.3,124,260,47.7,1,0.6,0.8,8,67,9
270,Armel Bella Kotchap,749,937,79.9,13980,4521,290,325,89.2,384,424,90.6,67,159,42.1,2,1.0,0.5,6,32,4
271,Raoul Bellanova,238,306,77.8,3914,953,120,135,88.9,82,110,74.5,23,39,59.0,0,0.4,0.4,3,9,6
272,Karim Bellarabi,37,57,64.9,493,171,24,31,77.4,13,23,56.5,0,2,0.0,0,0.0,0.0,0,4,0
273,Jean-Ricner Bellegarde,952,1242,76.7,16743,5003,423,489,86.5,396,483,82.0,105,209,50.2,6,5.2,5.8,57,93,49
274,Héctor Bellerín,77,96,80.2,1146,419,48,52,92.3,21,25,84.0,5,8,62.5,0,0.1,0.5,1,10,4
275,Jude Bellingham,1342,1643,81.7,23692,7381,605,694,87.2,509,590,86.3,169,233,72.5,4,4.0,4.9,34,194,45
276,Jeanuël Belocian,274,308,89.0,4796,1397,105,120,87.5,156,165,94.5,13,19,68.4,0,0.1,0.3,1,13,1
277,Andrea Belotti,171,258,66.3,2169,381,103,135,76.3,45,62,72.6,5,9,55.6,2,1.6,0.7,14,6,5
278,Fran Beltrán,1604,1816,88.3,28935,6589,658,716,91.9,743,808,92.0,164,221,74.2,2,1.7,2.5,24,136,12
279,Eliesse Ben Seghir,342,436,78.4,4983,1280,181,224,80.8,123,145,84.8,16,26,61.5,1,1.2,1.1,14,30,21
280,Salim Ben Seghir,2,2,100.0,18,1,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0
281,Wissam Ben Yedder,449,605,74.2,6103,1335,248,308,80.5,142,184,77.2,16,36,44.4,6,3.8,3.7,25,32,30
282,Marco Benassi,91,105,86.7,2107,426,32,32,100.0,33,41,80.5,26,31,83.9,0,0.1,0.1,1,11,1
283,Marco Benassi,248,344,72.1,4318,1060,115,136,84.6,109,138,79.0,20,44,45.5,0,0.4,0.5,7,17,4
284,Iker Benito,31,42,73.8,501,92,24,29,82.8,3,7,42.9,4,5,80.0,0,0.3,0.2,3,0,1
285,Ismaël Bennacer,1219,1423,85.7,21142,5792,565,616,91.7,451,505,89.3,151,228,66.2,2,3.3,3.1,43,123,28
286,Saïd Benrahma,597,796,75.0,8154,2088,374,425,88.0,176,241,73.0,25,61,41.0,3,4.5,3.3,48,32,23
287,Ramy Bensebaini,1192,1525,78.2,20015,7769,594,658,90.3,478,576,83.0,96,203,47.3,1,2.3,2.7,15,81,30
288,Nabil Bentaleb,1512,1853,81.6,29115,9442,556,641,86.7,724,825,87.8,195,315,61.9,4,2.3,3.6,33,172,15
289,Rodrigo Bentancur,738,880,83.9,11482,3178,368,413,89.1,301,336,89.6,39,70,55.7,2,0.8,0.7,11,54,9
290,Daniel Bentley,61,80,76.3,1540,927,12,12,100.0,34,34,100.0,15,34,44.1,0,0.0,0.0,0,0,0
291,Karim Benzema,924,1070,86.4,10990,2417,624,695,89.8,193,210,91.9,24,32,75.0,3,5.8,5.5,48,71,51
292,Domenico Berardi,614,909,67.5,12161,3346,260,343,75.8,224,317,70.7,109,173,63.0,7,6.6,5.9,45,38,56
293,Yuri Berchiche,1304,1580,82.5,22195,8668,640,703,91.0,537,634,84.7,105,153,68.6,1,1.4,1.7,21,146,31
294,Álex Berenguer,630,955,66.0,9379,2766,372,441,84.4,163,266,61.3,62,152,40.8,1,4.6,5.2,52,25,41
295,Bartosz Bereszyński,471,644,73.1,6989,3219,286,316,90.5,143,210,68.1,28,73,38.4,0,0.1,0.3,3,32,10
296,Bartosz Bereszyński,87,105,82.9,1252,420,54,59,91.5,26,33,78.8,4,5,80.0,1,0.2,0.1,2,5,3
297,Patrick Berg,17,20,85.0,319,133,8,8,100.0,5,6,83.3,3,3,100.0,0,0.0,0.0,1,3,1
298,Mitchell van Bergen,205,303,67.7,3177,1016,110,134,82.1,63,97,64.9,19,46,41.3,1,2.7,2.6,19,11,18
299,Mergim Berisha,161,342,47.1,2735,1043,72,120,60.0,66,125,52.8,17,55,30.9,4,2.7,2.8,20,20,10
300,Quentin Bernard,324,417,77.7,5848,2976,147,160,91.9,122,154,79.2,44,83,53.0,1,0.6,0.5,7,31,6
301,Paul Bernardoni,438,667,65.7,12371,9125,77,79,97.5,218,224,97.3,141,359,39.3,0,0.0,0.0,0,12,0
302,Juan Bernat,969,1049,92.4,13422,3011,585,626,93.5,316,337,93.8,23,29,79.3,4,3.1,3.0,21,36,11
303,Victor Bernth Kristiansen,327,496,65.9,5252,2353,176,209,84.2,124,191,64.9,24,67,35.8,1,0.8,0.6,7,29,4
